who,amount
0x5ebdfe236a8a75cc379ac2ad8cd754ee38297477,204800000000000000000000
0x9007182b4223fe90cdd00a4b3353aa67a230a735,1286400000000000000000000
0xecff33461f6fa07f62bf7619ad1ccb023de6833c,191462400000000000000000000
0xcc3876120c2dfaf9c404c7c9a9b99b32ffbcf6b4,166400000000000000000000
0x853b3c155ce9f58d53d8361ec200274d11071398,3340800000000000000000000
0x4160478bb15e98815697298e114ff79aa76d002d,2310400000000000000000000
0x00205fdac4d4887de33df1ad324f65e8277508a1,256000000000000000000000
0x06052679e8ec2017a6b8e9563a47e73149aeedac,25600256256000000000000000
0x003ececc24694ba39f149b445a7f84bfe715d9d2,4864000000000000000000000
0x29eceeafdfff73e125c2fb93cde3e6bb6f1b602c,327680000000000000000000
0x2cdc001ea87149210328d292cc84c250b4995dc2,8819200000000000000000000
0x615e1690dfe1fe7ca505d19c0ca9b2c4881f2bbe,332800000000000000000000
0xeb965ad19588f48f805465d25c6ae0aa60a46398,2304000000000000000000000
0x9b4861e73bd3b4bfb1b26fc288a41e7d5271d8a1,8960000000000000000000
0x654535cf96bd6b97107701eba5ee123a97fe3430,2676736000000000000000000
0xfb96f9c227a825a407d29cedb43e663d555ce369,2841600000000000000000000
0x9695b9605abda2ac9ccab701d02332aedaac6721,6348800000000000000000000
0xe4a9a79d776f375a0de93c7335e8013dbdc4f587,3840000000000000000000
0xb34cf4a5854b38e9b80552d3b5a7a2aaae37419f,8960000000000000000000
0x178d8546c5f78e01133858958355b06ec3406a1a,78335744000000000000000000
0x8496ab98601f4200f0617eb5c634761cdfc1fe84,6963200000000000000000000
0xb5540caf9cce89b7da1f26a4cf54cff48853ae00,1614592000000000000000000
0x577d2186e4693546b46dcee5f4ae89724fcc4f0c,12800000000000000000000
0xbca4ad845f0fc316de295dacb033a7ef2902ed0e,31232000000000000000000000
0x7c1fc7e29b62540f092d73b7ef9fa9558d4df8f2,512000000000000000000000000
0x9cf97a207a0775c6c65f708e988b482d6440e41b,1159680000000000000000000
0xacc87388e55ff12bea590c5608069a90d3f1606a,173824000000000000000000000
0xdfca71d461cfca5f0cd0960f753fa31ef4cf9f52,4864000000000000000000000
0xa767f06faed20d35db46247e3681fede7ca70196,15298560030720000000000
0x248e8d953dacd5ad20dbca5c9c0697321958a90a,10534929177600000000000000
0x4fac709cc2d0bf3ebba37e908e1693f6413738c0,13747200000000000000000000
0x726277fa11635f0d50fd36e021219b4660225fb9,2555904000000000000000000000
0x7a4510d033986af688a0a8a9ef114d07a7b2a577,3034368000000000000000000
0xc1c3d0cd8c23bdec19b7f8d2601cc3b3b35c2629,2560000000000000000000000
0xae9dc6a768bb39f376ee9526b98ef0dbc13f313d,21509120000000000000000000
0x86274cd9cb1890776c942001dd49c2625e8af8dc,6400000000000000000000000
0x6fad4e7cd7fd66757f8e0a3b8227116377dc2c9c,2461204480000000000000000000
0xc4be38e6cd90977059a2e9632fa5121017f6528e,739425416704000000000000
0xe7814ff277cd51390ee818c930e7ce40d2824260,13568000000000000000000
0xa02f873cc0cc3c573c3512672164d9e723c8d699,11712000000000000000000000
0x6cc944c7ac0b9307ff56e0a42317ba8591b2d97b,2432000000000000000000000
0x1ec8f94b0ef0dc6a9ff923dfdf2523f4456cdffd,4044800000000000000000000
0x80fb953a07439353f6e5d07249cb13dab10ed7f2,5977600000000000000000000
0x2f3929ae88944c5de0c32d4195ccf3f4475d33f8,3110400000000000000000000
0x19719dc01be53ef10dfdc491fc0ad2feab4b1fcd,26158263171571712000000000
0x819833b76649ef57d84c2ae667c81ee34da9b512,511104000000000000000000
0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,204800000000000000000000
0x7f382ed964cb464931938cb8cf6a7babaff72e90,50924560833376000000000000
0x87d9c50b3e774536250f1aba2ab38c54268a18d8,2009600000000000000000000
